중국 만평,"출처 RFA


진짜 중국 소비하지 말자 개개인이라도.
나는 마라탕도 한국인이 운영하는 것만 먹고 중국 자본이나 입김 들어간 철인왕후, 여신강림 일절 안 봄. 생각보다 더 심각하다",9,['마라탕은 먹는 순간 다 중국한테 돈들어가는거ㅜ 식재료가 대부분 중국 생산이라... 근데 진짜 실생활에서 중국 거르기 진짜 힘들긴 하드라... 메이드 인 차이나 아닌게 없는디ㅜㅜ']
바퀴벌레라는 말도 아깝다????,"한국에서 윤동주를 한국인이니 수정해달라고 하자

중국인이라고 절대 바꿔줄수 없다고함

그리고 일부러 한국에서 이 문제를 과장해서 민족 정서를 부추기고 있다고 함

기대를 져버리지않는 '그' 국가 ????",4,[]
중국 진짜 존나 싫다,남의 나라 문화도 자기꺼라고 우기는 것도 싫고 시끄러운것도 싫고 존나 싫어,3,['착짱죽짱..']
중국인 친구랑 동북공정 이야기했는데,"그런사람들은 약간 태극기부대처럼 질 나쁜 사람들이라 무관심이 답인데
무시하기에는 너무 그 수가 많아서 담론이 형성되어버리니 자기도 어이없고 답답하다고 하네..",2,"['조심스럽게 이런거 아니..? 하면서 김치랑 한복논란 이야기했는데 자기가 더 화내서 내가 머쓱해짐', '교환학생 갔을때 만난 중국친구랑 대화하는데 중화사상장난아님. 홍콩 대만 무조건 중국이라는 생각이 짙게 깔려있어 ㅋㅋㅋ 애초에 그친구도 유학와서 공부할정도니까 잘사는거고 상류층일텐데, 그런애들부터 중화사상 찌들어 있는거보면.. 답없음', '중화사상 찌든 애들만 유학가능함. 공산당에서 어느정도 뭐 있는거 아니면 중국에선 잘살고 유학가는거 불가능함']"
중국인 신기하긴하다,이런걸 누가먹어?라는 말이 나오는 모든걸 다처먹으니,0,"['표현좀 이쁘게 합시다', '중국인?', '한국인입니다ㅎㅎ', '저거도 많이 순화한건디..ㅜ', '네 알겠습니다!']"
요즘 중국애들 동북공정하는거 보면서 든 생각,"홍콩이나 티벳처럼 우리도 언젠가는 먹힐 것 같아.

과거부터 한국은 중국의 속국이었다, 중국의 소수민족 국가다.

중공이 해방하겠다 등 갖가지 이유를 들여서 합병할 것 같아.

얼마전 중국전통요리 유튜브에서 김치보고 자기들 전통음식이라 하질않나, 운남성 전통요리 유튜브에선 삼겹살 쌈보고 운남성 전통음식이라 하지않나

그리고 우마오당 같은 것 때문인지 걔들 댓글화력도 엄청 쎄. 중국인들은 원래 유튜브 못들어가는거 아니야? 이름이 중국냄새 나는 것들이 전부 다 '한국인은 모든게 다 자기들 것이라 한다', '한국은 중국의 문화를 받았다' 이런 소리만 하고 있어.

티벳이나 위구르 보면 중공한테 먹힌후엔 ㄹㅇ 자유를 되찾을 방법이 없을 것 같아. 일본보다 더 했으면 더 했지 덜하진 않을거야

혹시 우리학교에 한국문화 제대로 알리는 활동을 하는 동아리 같은거 없니? 중국이 은근슬쩍 우리 문화를 뺏으려 할때마다 여러나라 언어로 반박하는 글을 만들 수 있으면 좋겠어",35,"['국력이 세서 아직이긴 하지만, 제일 좋은 건 중국이 50개로 분열되는 것', '개씹극혐', '그러게요. 폴란드학과 학생이 욱일승천기 관련해서 알린 것 처럼 뭐 만들면 좋겠네요', '동북공정 처음으로 알린 교슈님이 외대 사학과 여호규 교수님입니다. 여교수님 말고도 사학과 교수님들 모두 짱짱맨이에요', '우리도 뭐 해서 외대 닉값 좀 합시다', '일본같은 애들은 그냥 짜증나기만 하는데 중국애들은 진짜 무서워 지리적으로나 문화적으로나 먹힐 것 같아서', '“중국몽”', '만약 실제로 그렇게 된다면 다른 나라에 먹힌다는거 보다 그게 중국이라는 게 너무 역겨울듷', '????=??', '진짜 역겨운 나라', '홍콩은 왜?', '짱퀴들 진짜 무섭다', '엠뒤짱']"
중국 일본 혐한 감정은,아무리 봐도 한국 잘나가서 배알꼴려서 생기는 거로 보인다,0,[]
짱개 방어 삼신기,"이거 3개면 짱개 막음 ㅋㅋㅋ
[이 글을 신고하는 사람은 티베트,위구르 등 소수민족의 독립을 찬성하며 중국의 민주화에 적극 동참하는 사람임을 알려드립니다.]",8,"['ㅋㅋ 내리시죠? 정지당하실텐데', '신고하시게요? ㄷㄷ', '막짤은 뭔가요??', '나는 중국의 천안문을 사랑해' 동요버전., '마지막사진은 머야??', '나는 중국의 천안문을 사랑해' 동요버전., '너무좋고', '근데 3번째노래 중국사람들이 만든건데 왜싫어하는거야???']"
길 알려주다가 확진자랑 접촉,이런 세상이 오게 만든 중국은 없어져야 한다.,1,['헐랭']
김치 중국산이랑 국산이랑 가격 차이 많이 나?,학교 음식에 나오는 김치 전부 중국산만 쓴다길래 좀 그래,0,"['차이 많이 나지 ㅠ 인터넷으로 봐도 같은 키로수에 만원 이상 차이남', '나는 김치는 국산일줄 알았는데 아쉽네', '원재료부터 인건비까지 품질차이가 으마무시']"
